iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.324659 
iteration 4 max error 5.635726 
iteration 5 max error 5.038824 
iteration 6 max error 4.512494 
iteration 7 max error 4.045202 
iteration 8 max error 3.628693 
iteration 9 max error 3.256548 
iteration 10 max error 2.923567 
-53.4307 -51.3241 -49.5471 -47.9175 -46.3893
-53.4294 -51.3231 -49.5462 -47.9167 -46.3885
-53.4282 -51.3222 -49.5453 -47.9159 -46.3877
-53.4269 -51.3212 -49.5444  -47.915 -46.3869
-53.4257 -51.3202 -49.5435 -47.9142 -46.3862
-53.4244 -51.3192 -49.5426 -47.9134 -46.3854
-53.4232 -51.3182 -49.5417 -47.9125 -46.3846
-53.4219 -51.3173 -49.5408 -47.9117 -46.3838
-53.4207 -51.3163 -49.5399 -47.9109  -46.383
-53.4194 -51.3153  -49.539   -47.91 -46.3822
